ds,y
1990-1-23 11:0:0,201.56
1990-1-23 12:0:0,193.89
1990-1-23 13:0:0,188.82
1990-1-23 14:0:0,188.74
1990-1-23 15:0:0,187.93
1990-1-23 16:0:0,184.85
1990-1-23 17:0:0,187.13
1990-1-23 18:0:0,188.56
1990-1-23 19:0:0,184.65
1990-1-23 20:0:0,183.39
1990-1-23 21:0:0,179.14
1990-1-23 22:0:0,170.76
1990-1-23 23:0:0,162.03
1990-1-24 0:0:0,150.72
1990-1-24 1:0:0,144.63
1990-1-24 2:0:0,140.65
1990-1-24 3:0:0,144.69
1990-1-24 4:0:0,152.99
1990-1-24 5:0:0,166.34
1990-1-24 6:0:0,193.95
1990-1-24 7:0:0,218.89
1990-1-24 8:0:0,223.27
1990-1-24 9:0:0,234.09
1990-1-24 10:0:0,233.03
1990-1-24 11:0:0,229.96
1990-1-24 12:0:0,221.35
1990-1-24 13:0:0,203.92
1990-1-24 14:0:0,201.13
1990-1-24 15:0:0,198.61
1990-1-24 16:0:0,209.6
1990-1-24 17:0:0,214.21
1990-1-24 18:0:0,216.76
1990-1-24 19:0:0,216.61
1990-1-24 20:0:0,207.44
1990-1-24 21:0:0,200.64
1990-1-24 22:0:0,186.65
1990-1-24 23:0:0,174.54
1990-1-25 0:0:0,167.89
1990-1-25 1:0:0,150
1990-1-25 2:0:0,153.01
1990-1-25 3:0:0,158.55
1990-1-25 4:0:0,162.56
1990-1-25 5:0:0,173.89
1990-1-25 6:0:0,203.53
1990-1-25 7:0:0,215.76
1990-1-25 8:0:0,223.39
1990-1-25 9:0:0,226.12
1990-1-25 10:0:0,221.7
1990-1-25 11:0:0,215.11
1990-1-25 12:0:0,212.28
1990-1-25 13:0:0,210.45
1990-1-25 14:0:0,207.8
1990-1-25 15:0:0,207.89
1990-1-25 16:0:0,215.86
1990-1-25 17:0:0,215.31
1990-1-25 18:0:0,212.5
1990-1-25 19:0:0,184.59
1990-1-25 20:0:0,172
1990-1-25 21:0:0,166.59
1990-1-25 22:0:0,165.32
1990-1-25 23:0:0,166.52
1990-1-25 0:0:0,158.26
1990-1-26 1:0:0,160.12
1990-1-26 2:0:0,157.37
1990-1-26 3:0:0,160.12
1990-1-26 4:0:0,172.99
1990-1-26 5:0:0,180
1990-1-26 6:0:0,209.03
1990-1-26 7:0:0,221.8
1990-1-26 8:0:0,223.7
1990-1-26 9:0:0,223.57
1990-1-26 10:0:0,222.1
1990-1-26 11:0:0,217.57
1990-1-26 12:0:0,212.06
1990-1-26 13:0:0,206.38
1990-1-26 14:0:0,203.47
1990-1-26 15:0:0,200.13
1990-1-26 16:0:0,198.99
1990-1-26 17:0:0,200.21
1990-1-26 18:0:0,204.23
1990-1-26 19:0:0,208.97
1990-1-26 20:0:0,211.17
1990-1-26 21:0:0,203.95
1990-1-26 22:0:0,193.27
1990-1-26 23:0:0,187.06
1990-1-27 0:0:0,184.98
1990-1-27 1:0:0,185.88
1990-1-27 2:0:0,186.59
1990-1-27 3:0:0,187.75
1990-1-27 4:0:0,189.93
1990-1-27 5:0:0,193.5
1990-1-27 6:0:0,197.06
1990-1-27 7:0:0,209.07
1990-1-27 8:0:0,202.55
1990-1-27 9:0:0,210.49
1990-1-27 10:0:0,218.51
1990-1-27 11:0:0,220.13
1990-1-27 12:0:0,214.03
1990-1-27 13:0:0,193.71
1990-1-27 14:0:0,183.31
1990-1-27 15:0:0,184.41
1990-1-27 16:0:0,183.84
1990-1-27 17:0:0,190.98
1990-1-27 18:0:0,196.35
1990-1-27 19:0:0,201.52
1990-1-27 20:0:0,196.02
1990-1-27 21:0:0,185.51
1990-1-27 22:0:0,184.2
1990-1-27 23:0:0,177.84
1990-1-28 0:0:0,165.69
1990-1-28 1:0:0,189.88
1990-1-28 2:0:0,173.04
1990-1-28 3:0:0,167.95
1990-1-28 4:0:0,166.5
1990-1-28 5:0:0,177.82
1990-1-28 6:0:0,182.62
1990-1-28 7:0:0,182.39
1990-1-28 8:0:0,183.29
1990-1-28 9:0:0,194.26
1990-1-28 10:0:0,200.74
1990-1-28 11:0:0,198.3
1990-1-28 12:0:0,214.23
1990-1-28 13:0:0,199.97
1990-1-28 14:0:0,190.65
1990-1-28 15:0:0,181.6
1990-1-28 16:0:0,187.83
1990-1-28 17:0:0,196.19
1990-1-28 18:0:0,196.02
1990-1-28 19:0:0,198.34
1990-1-28 20:0:0,201.46
1990-1-28 21:0:0,197.1
1990-1-28 22:0:0,194.85
1990-1-28 23:0:0,188.03
1990-1-29 0:0:0,181.95
1990-1-29 1:0:0,179.38
1990-1-29 2:0:0,179.24
1990-1-29 3:0:0,179.12
1990-1-29 4:0:0,189.23
1990-1-29 5:0:0,201.66
1990-1-29 6:0:0,215.54
1990-1-29 7:0:0,222.57
1990-1-29 8:0:0,229.17
1990-1-29 9:0:0,231.16
1990-1-29 10:0:0,215.58
1990-1-29 11:0:0,211.02
1990-1-29 12:0:0,197.37
1990-1-29 13:0:0,177.53
1990-1-29 14:0:0,177.98
1990-1-29 15:0:0,185.3
1990-1-29 16:0:0,195.07
1990-1-29 17:0:0,194.15
1990-1-29 18:0:0,199.6
1990-1-29 19:0:0,197.39
1990-1-29 20:0:0,196.47
1990-1-29 21:0:0,188.72
1990-1-29 22:0:0,181.97
1990-1-29 23:0:0,172.69
1990-1-29 0:0:0,165.45
1990-1-30 1:0:0,162.25
1990-1-30 2:0:0,163.21
1990-1-30 3:0:0,164.86
1990-1-30 4:0:0,169.07
1990-1-30 5:0:0,184.16
1990-1-30 6:0:0,208.25
1990-1-30 7:0:0,229.23
1990-1-30 8:0:0,227.76
1990-1-30 9:0:0,231.2
1990-1-30 10:0:0,223.61
1990-1-30 11:0:0,215.17
1990-1-30 12:0:0,213.5
1990-1-30 13:0:0,220.91
1990-1-30 14:0:0,214.84
1990-1-30 15:0:0,207.11
1990-1-30 16:0:0,196.02
1990-1-30 17:0:0,198.83
1990-1-30 18:0:0,199.1
1990-1-30 19:0:0,200.56
1990-1-30 20:0:0,188.99
1990-1-30 21:0:0,178.43
1990-1-30 22:0:0,173.24
1990-1-30 23:0:0,167.5
1990-1-31 0:0:0,162.58
1990-1-31 1:0:0,161.66
1990-1-31 2:0:0,157.67
1990-1-31 3:0:0,158.57
1990-1-31 4:0:0,161.44
1990-1-31 5:0:0,167.73
1990-1-31 6:0:0,179.52
1990-1-31 7:0:0,198.87
1990-1-31 8:0:0,219.5
1990-1-31 9:0:0,204.83
1990-1-31 10:0:0,196.39
1990-1-31 11:0:0,195.13
1990-1-31 12:0:0,192.04
1990-1-31 13:0:0,192.42
1990-1-31 14:0:0,190.71
1990-1-31 15:0:0,187.44
1990-1-31 16:0:0,180.5
1990-1-31 17:0:0,175.76
1990-1-31 18:0:0,184.65
1990-1-31 19:0:0,188.38
1990-1-31 20:0:0,186.69
1990-1-31 21:0:0,182.9
1990-1-31 22:0:0,174.48
1990-1-31 23:0:0,165.12
1990-2-1 0:0:0,155.92
1990-2-1 1:0:0,155.38
1990-2-1 2:0:0,154.91
1990-2-1 3:0:0,154.89
1990-2-1 4:0:0,157.88
1990-2-1 5:0:0,166.18
1990-2-1 6:0:0,175.58
1990-2-1 7:0:0,196.47
1990-2-1 8:0:0,210.16
1990-2-1 9:0:0,211.34
1990-2-1 10:0:0,204.49
1990-2-1 11:0:0,197.45
1990-2-1 12:0:0,191.45
1990-2-1 13:0:0,193.46
1990-2-1 14:0:0,187.2
1990-2-1 15:0:0,187.91
1990-2-1 16:0:0,184.43
1990-2-1 17:0:0,182.49
1990-2-1 18:0:0,194.15
1990-2-1 19:0:0,187.81
1990-2-1 20:0:0,181.46
1990-2-1 21:0:0,175.03
1990-2-1 22:0:0,171.04
1990-2-1 23:0:0,162.98
1990-2-2 0:0:0,156.31
1990-2-2 1:0:0,154.87
1990-2-2 2:0:0,154.89
1990-2-2 3:0:0,154.8
1990-2-2 4:0:0,158.9
1990-2-2 5:0:0,166.2
1990-2-2 6:0:0,186.14
1990-2-2 7:0:0,205.44
1990-2-2 8:0:0,223.55
1990-2-2 9:0:0,212.54
1990-2-2 10:0:0,208.73
1990-2-2 11:0:0,204.91
1990-2-2 12:0:0,200.99
1990-2-2 13:0:0,194.34
1990-2-2 14:0:0,185.2
1990-2-2 15:0:0,177.04
1990-2-2 16:0:0,177.04
1990-2-2 17:0:0,180.13
1990-2-2 18:0:0,176.39
1990-2-2 19:0:0,179.36
1990-2-2 20:0:0,183.31
1990-2-2 21:0:0,180.54
1990-2-2 22:0:0,175.43
1990-2-2 23:0:0,166.42
1990-2-3 0:0:0,157.02
1990-2-3 1:0:0,154.07
1990-2-3 2:0:0,153.67
1990-2-3 3:0:0,153.01
1990-2-3 4:0:0,151.84
1990-2-3 5:0:0,153.28
1990-2-3 6:0:0,158
1990-2-3 7:0:0,162.43
1990-2-3 8:0:0,166.02
1990-2-3 9:0:0,185.16
1990-2-3 10:0:0,195.19
1990-2-3 11:0:0,196.86
1990-2-3 12:0:0,197.27
1990-2-3 13:0:0,192.42
1990-2-3 14:0:0,190.08
1990-2-3 15:0:0,183.94
1990-2-3 16:0:0,184.59
1990-2-3 17:0:0,186.4
1990-2-3 18:0:0,186.01
1990-2-3 19:0:0,187.38
1990-2-3 20:0:0,187.54
1990-2-3 21:0:0,186.56
1990-2-3 22:0:0,185.43
1990-2-3 23:0:0,178.89
1990-2-4 0:0:0,169.74
1990-2-4 1:0:0,161.74
1990-2-4 2:0:0,154.99
1990-2-4 3:0:0,153.1
1990-2-4 4:0:0,155.25
1990-2-4 5:0:0,151.53
1990-2-4 6:0:0,157.67
1990-2-4 7:0:0,162.48
1990-2-4 8:0:0,170.13
1990-2-4 9:0:0,184.51
1990-2-4 10:0:0,191.81
1990-2-4 11:0:0,195.62
1990-2-4 12:0:0,193.85
1990-2-4 13:0:0,189.66
1990-2-4 14:0:0,190.84
1990-2-4 15:0:0,184.02
1990-2-4 16:0:0,183.35
1990-2-4 17:0:0,183.61
1990-2-4 18:0:0,187.44
1990-2-4 19:0:0,184.59
1990-2-4 20:0:0,179.83
1990-2-4 21:0:0,173.46
1990-2-4 22:0:0,170.76
1990-2-4 23:0:0,166.32
1990-2-5 0:0:0,161.17
1990-2-5 1:0:0,159.08
1990-2-5 2:0:0,158.57
1990-2-5 3:0:0,158.79
1990-2-5 4:0:0,162.74
1990-2-5 5:0:0,169.37
1990-2-5 6:0:0,182.68
1990-2-5 7:0:0,198.3
1990-2-5 8:0:0,208.09
1990-2-5 9:0:0,209.47
1990-2-5 10:0:0,204.61
1990-2-5 11:0:0,194.09
1990-2-5 12:0:0,182.76
1990-2-5 13:0:0,174.82
1990-2-5 14:0:0,169.39
1990-2-5 15:0:0,164.67
1990-2-5 16:0:0,171
1990-2-5 17:0:0,174.64
1990-2-5 18:0:0,181.46
1990-2-5 19:0:0,193.48
1990-2-5 20:0:0,188.96
1990-2-5 21:0:0,180.42
1990-2-5 22:0:0,174.21
1990-2-5 23:0:0,165.12
1990-2-6 0:0:0,150.96
1990-2-6 1:0:0,148.95
1990-2-6 2:0:0,141.82
1990-2-6 3:0:0,140.63
1990-2-6 4:0:0,147.07
1990-2-6 5:0:0,164.98
1990-2-6 6:0:0,194.76
1990-2-6 7:0:0,223.37
1990-2-6 8:0:0,230.08
1990-2-6 9:0:0,229.72
1990-2-6 10:0:0,215.03
1990-2-6 11:0:0,199.18
1990-2-6 12:0:0,190.51
1990-2-6 13:0:0,172.04
1990-2-6 14:0:0,163.39
1990-2-6 15:0:0,154.58
1990-2-6 16:0:0,155.03
1990-2-6 17:0:0,159.97
1990-2-6 18:0:0,167.48
1990-2-6 19:0:0,171.47
1990-2-6 20:0:0,171.29
1990-2-6 21:0:0,164.51
1990-2-6 22:0:0,160.56
1990-2-6 23:0:0,153.54
1990-2-6 0:0:0,149.84
1990-2-7 1:0:0,149.62
1990-2-7 2:0:0,144.8
1990-2-7 3:0:0,135.17
1990-2-7 4:0:0,140.91
1990-2-7 5:0:0,149.07
1990-2-7 6:0:0,168.62
1990-2-7 7:0:0,186.06
1990-2-7 8:0:0,197
1990-2-7 9:0:0,201.13
1990-2-7 10:0:0,200.42
1990-2-7 11:0:0,195.48
1990-2-7 12:0:0,183.47
1990-2-7 13:0:0,193.05
1990-2-7 14:0:0,199.18
1990-2-7 15:0:0,189.25
1990-2-7 16:0:0,188.13
1990-2-7 17:0:0,190.19
1990-2-7 18:0:0,197.96
1990-2-7 19:0:0,183.1
1990-2-7 20:0:0,179.85
1990-2-7 21:0:0,176.17
1990-2-7 22:0:0,162.31
1990-2-7 23:0:0,154.05
1990-2-8 0:0:0,144.21
1990-2-8 1:0:0,130.86
1990-2-8 2:0:0,133.67
1990-2-8 3:0:0,131.92
1990-2-8 4:0:0,139.49
1990-2-8 5:0:0,148.64
1990-2-8 6:0:0,163.76
1990-2-8 7:0:0,182.03
1990-2-8 8:0:0,199.18
1990-2-8 9:0:0,209.53
1990-2-8 10:0:0,190.84
1990-2-8 11:0:0,184.04
1990-2-8 12:0:0,190.63
1990-2-8 13:0:0,192.22
1990-2-8 14:0:0,181.27
1990-2-8 15:0:0,168.82
1990-2-8 16:0:0,173.75
1990-2-8 17:0:0,181.9
1990-2-8 18:0:0,198.51
1990-2-8 19:0:0,204.3
1990-2-8 20:0:0,200.79
1990-2-8 21:0:0,195.78
1990-2-8 22:0:0,185.81
1990-2-8 23:0:0,174.78
1990-2-9 0:0:0,158.61
1990-2-9 1:0:0,157.39
1990-2-9 2:0:0,157.71
1990-2-9 3:0:0,161.36
1990-2-9 4:0:0,163.41
1990-2-9 5:0:0,173.54
1990-2-9 6:0:0,187.85
1990-2-9 7:0:0,202.64
1990-2-9 8:0:0,219.54
1990-2-9 9:0:0,213.58
1990-2-9 10:0:0,195.84
1990-2-9 11:0:0,175.17
1990-2-9 12:0:0,179.2
1990-2-9 13:0:0,178.04
1990-2-9 14:0:0,171.55
1990-2-9 15:0:0,172.18
1990-2-9 16:0:0,176.05
1990-2-9 17:0:0,179.99
1990-2-9 18:0:0,183.82
1990-2-9 19:0:0,191.26
1990-2-9 20:0:0,188.27
1990-2-9 21:0:0,177.76
1990-2-9 22:0:0,170.63
1990-2-9 23:0:0,157.08
1990-2-10 0:0:0,148.38
1990-2-10 1:0:0,145.79
1990-2-10 2:0:0,144.16
1990-2-10 3:0:0,145.22
1990-2-10 4:0:0,146.61
1990-2-10 5:0:0,148.87
1990-2-10 6:0:0,154.24
1990-2-10 7:0:0,158.24
1990-2-10 8:0:0,172.26
1990-2-10 9:0:0,176.62
1990-2-10 10:0:0,180.77
1990-2-10 11:0:0,185.24
1990-2-10 12:0:0,192.24
1990-2-10 13:0:0,186.04
1990-2-10 14:0:0,183.09
1990-2-10 15:0:0,180.24
1990-2-10 16:0:0,179.61
1990-2-10 17:0:0,181.84
1990-2-10 18:0:0,181.72
1990-2-10 19:0:0,183.9
1990-2-10 20:0:0,180.68
1990-2-10 21:0:0,173.24
1990-2-10 22:0:0,169.09
1990-2-10 23:0:0,164.25
1990-2-10 0:0:0,161.89
1990-2-11 1:0:0,163.66
1990-2-11 2:0:0,162.41
1990-2-11 3:0:0,163.35
1990-2-11 4:0:0,165.2
1990-2-11 5:0:0,162.94
1990-2-11 6:0:0,166.02
1990-2-11 7:0:0,171.53
1990-2-11 8:0:0,172.32
1990-2-11 9:0:0,181.25
1990-2-11 10:0:0,181.84
1990-2-11 11:0:0,186.91
1990-2-11 12:0:0,181.68
1990-2-11 13:0:0,178.18
1990-2-11 14:0:0,168.44
1990-2-11 15:0:0,163.82
1990-2-11 16:0:0,162.88
1990-2-11 17:0:0,171.55
1990-2-11 18:0:0,182.03
1990-2-11 19:0:0,182.37
1990-2-11 20:0:0,195.17
1990-2-11 21:0:0,193.3
1990-2-11 22:0:0,187.5
1990-2-11 23:0:0,169.78
1990-2-12 0:0:0,161.8
1990-2-12 1:0:0,163.55
1990-2-12 2:0:0,166.65
1990-2-12 3:0:0,177.69
1990-2-12 4:0:0,186.85
1990-2-12 5:0:0,202.96
1990-2-12 6:0:0,217.08
1990-2-12 7:0:0,226.2
1990-2-12 8:0:0,237.65
1990-2-12 9:0:0,248.39
1990-2-12 10:0:0,239.01
1990-2-12 11:0:0,223.49
1990-2-12 12:0:0,219.32
1990-2-12 13:0:0,213.18
1990-2-12 14:0:0,206.66
1990-2-12 15:0:0,194.88
1990-2-12 16:0:0,196
1990-2-12 17:0:0,194.54
1990-2-12 18:0:0,204.55
1990-2-12 19:0:0,204.59
1990-2-12 20:0:0,199.65
1990-2-12 21:0:0,198.04
1990-2-12 22:0:0,193.48
1990-2-12 23:0:0,186.42
1990-2-13 0:0:0,175.15
1990-2-13 1:0:0,168.01
1990-2-13 2:0:0,167.91
1990-2-13 3:0:0,164.88
1990-2-13 4:0:0,170.31
1990-2-13 5:0:0,187.99
1990-2-13 6:0:0,198.36
1990-2-13 7:0:0,209.7
1990-2-13 8:0:0,231.61
1990-2-13 9:0:0,220.44
1990-2-13 10:0:0,202.33
1990-2-13 11:0:0,200.58
1990-2-13 12:0:0,191.32
1990-2-13 13:0:0,179.71
1990-2-13 14:0:0,176.55
1990-2-13 15:0:0,175.96
1990-2-13 16:0:0,175.78
1990-2-13 17:0:0,181.56
1990-2-13 18:0:0,200.22
1990-2-13 19:0:0,214.48
1990-2-13 20:0:0,210.59
1990-2-13 21:0:0,202.11
1990-2-13 22:0:0,194.26
1990-2-13 23:0:0,186.36
1990-2-14 0:0:0,166.16
1990-2-14 1:0:0,159.93
1990-2-14 2:0:0,158.08
1990-2-14 3:0:0,169.66
1990-2-14 4:0:0,178.47
1990-2-14 5:0:0,190.02
1990-2-14 6:0:0,211.26
1990-2-14 7:0:0,226.12
1990-2-14 8:0:0,250.06
1990-2-14 9:0:0,252.71
1990-2-14 10:0:0,236.94
1990-2-14 11:0:0,222.98
1990-2-14 12:0:0,206.81
1990-2-14 13:0:0,195.11
1990-2-14 14:0:0,185.1
1990-2-14 15:0:0,181.78
1990-2-14 16:0:0,173.79
1990-2-14 17:0:0,176.35
1990-2-14 18:0:0,196.84
1990-2-14 19:0:0,199.57
1990-2-14 20:0:0,203.78
1990-2-14 21:0:0,198.51
1990-2-14 22:0:0,193.4
1990-2-14 23:0:0,187.21
1990-2-14 0:0:0,179.1
1990-2-15 1:0:0,174.01
1990-2-15 2:0:0,175.58
1990-2-15 3:0:0,178
1990-2-15 4:0:0,179.65
1990-2-15 5:0:0,192.32
1990-2-15 6:0:0,205.02
1990-2-15 7:0:0,227.84
1990-2-15 8:0:0,245.73
1990-2-15 9:0:0,237.47
1990-2-15 10:0:0,234.13
1990-2-15 11:0:0,219.93
1990-2-15 12:0:0,210.08
1990-2-15 13:0:0,195.78
1990-2-15 14:0:0,192.12
1990-2-15 15:0:0,178.81
1990-2-15 16:0:0,179.77
1990-2-15 17:0:0,179.69
1990-2-15 18:0:0,196.11
1990-2-15 19:0:0,201.96
1990-2-15 20:0:0,207.03
1990-2-15 21:0:0,204
1990-2-15 22:0:0,195.92
1990-2-15 23:0:0,188.15
1990-2-16 0:0:0,179.77
1990-2-16 1:0:0,166.81
1990-2-16 2:0:0,166.89
1990-2-16 3:0:0,169.92
1990-2-16 4:0:0,172.71
1990-2-16 5:0:0,178.85
1990-2-16 6:0:0,193.28
1990-2-16 7:0:0,213.99
1990-2-16 8:0:0,228.33
1990-2-16 9:0:0,246.34
1990-2-16 10:0:0,218.24
1990-2-16 11:0:0,217.88
1990-2-16 12:0:0,213.76
1990-2-16 13:0:0,201.68
1990-2-16 14:0:0,207.15
1990-2-16 15:0:0,206.4
1990-2-16 16:0:0,199.75
1990-2-16 17:0:0,200.7
1990-2-16 18:0:0,205.42
1990-2-16 19:0:0,208.52
1990-2-16 20:0:0,207.34
1990-2-16 21:0:0,198.2
1990-2-16 22:0:0,184.12
1990-2-16 23:0:0,173.4
1990-2-17 0:0:0,168.66
1990-2-17 1:0:0,163.51
1990-2-17 2:0:0,151.29
1990-2-17 3:0:0,149.48
1990-2-17 4:0:0,148.88
1990-2-17 5:0:0,157.27
1990-2-17 6:0:0,177.45
1990-2-17 7:0:0,187.03
1990-2-17 8:0:0,194.34
1990-2-17 9:0:0,204.29
1990-2-17 10:0:0,216.06
1990-2-17 11:0:0,213.13
1990-2-17 12:0:0,204.29
1990-2-17 13:0:0,198.14
1990-2-17 14:0:0,196.19
1990-2-17 15:0:0,197.92
1990-2-17 16:0:0,204.16
1990-2-17 17:0:0,204.45
1990-2-17 18:0:0,208.58
1990-2-17 19:0:0,210.31
1990-2-17 20:0:0,204.08
1990-2-17 21:0:0,195.43
1990-2-17 22:0:0,187.01
1990-2-17 23:0:0,171.2
1990-2-17 0:0:0,157.57
1990-2-18 1:0:0,153.67
1990-2-18 2:0:0,145.43
1990-2-18 3:0:0,141.52
1990-2-18 4:0:0,144.57
1990-2-18 5:0:0,153.01
1990-2-18 6:0:0,173.01
1990-2-18 7:0:0,184.31
1990-2-18 8:0:0,192.3
1990-2-18 9:0:0,197.55
1990-2-18 10:0:0,196.62
1990-2-18 11:0:0,177.73
1990-2-18 12:0:0,172.36
1990-2-18 13:0:0,169.98
1990-2-18 14:0:0,168.01
